"host","host_common","aphid"
"Artemisia filifolia","Sand Sagebrush","Aphis minutissima"
"Artemisia filifolia","Sand Sagebrush","Capitophorus filifoliae"
"Artemisia filifolia","Sand Sagebrush","Epameibaphis utahensis"
"Artemisia filifolia","Sand Sagebrush","Macrosiphum filifoliae"
"Artemisia filifolia","Sand Sagebrush","Macrosiphum jonesii"
"Artemisia frigida","Fringed Sagebrush","Aphis armoraciae"
"Artemisia frigida","Fringed Sagebrush","Aphis maidiradicis"
"Artemisia frigida","Fringed Sagebrush","Capitophorus pseudoglandulosus"
"Artemisia frigida","Fringed Sagebrush","Epameibaphis frigidae"
"Artemisia frigida","Fringed Sagebrush","Macrosiphum frigidae"
"Artemisia frigida","Fringed Sagebrush","Macrosiphum frigidicola"
"Artemisia frigida","Fringed Sagebrush","Pseudoepameibaphis glauca"
"Artemisia longifolia","Longleaf Sagebrush","Aphis canae"
"Artemisia longifolia","Longleaf Sagebrush","Artemisaphis artemisicola"
"Artemisia longifolia","Longleaf Sagebrush","Capitophorus brevinectarius"
"Artemisia longifolia","Longleaf Sagebrush","Capitophorus longinectarius"
"Artemisia longifolia","Longleaf Sagebrush","Capitophorus pullus"
"Artemisia longifolia","Longleaf Sagebrush","Epameibaphis atricornis"
"Artemisia longifolia","Longleaf Sagebrush","Microsiphum acophorum"
"Artemisia ludoviciana","Louisiana Sagebrush","Capitophorus"
"Artemisia ludoviciana","Louisiana Sagebrush","Macrosiphum ludovicianae"
"Artemisia ludoviciana","Louisiana Sagebrush","Microsiphum artemisiae"
"Artemisia ludoviciana","Louisiana Sagebrush","Rhopalosiphum rufomaculatum"
"Artemisia","Wormwood or Sagebrush","Capitophorus pycnorhysus"
"Artemisia","Wormwood or Sagebrush","Geoica utricularia"
"Artemisia","Wormwood or Sagebrush","Macrosiphum flavilum"
"Artemisia","Wormwood or Sagebrush","Prociphilus erigeronensis"
"Artemisia tridentata","Big Sagebrush","Aphis canae"
"Artemisia tridentata","Big Sagebrush","Aphis filifoliae"
"Artemisia tridentata","Big Sagebrush","Aphis hermistonii"
"Artemisia tridentata","Big Sagebrush","Aphis infrequens"
"Artemisia tridentata","Big Sagebrush","Aphis oregonensis"
"Artemisia tridentata","Big Sagebrush","Artemisaphis artemisicola"
"Artemisia tridentata","Big Sagebrush","Capitophorus bitrichus"
"Artemisia tridentata","Big Sagebrush","Capitophorus decampus"
"Artemisia tridentata","Big Sagebrush","Capitophorus heterohirsutus"
"Artemisia tridentata","Big Sagebrush","Capitophorus infrequens"
"Artemisia tridentata","Big Sagebrush","Capitophorus longipes"
"Artemisia tridentata","Big Sagebrush","Capitophorus"
"Artemisia tridentata","Big Sagebrush","Capitophorus quadritrichus"
"Artemisia tridentata","Big Sagebrush","Capitophorus rusticatus"
"Artemisia tridentata","Big Sagebrush","Capitophorus spatulavillus"
"Artemisia tridentata","Big Sagebrush","Capitophorus zoomontanus"
"Artemisia tridentata","Big Sagebrush","Epameibaphis atricornis"
"Artemisia tridentata","Big Sagebrush","Epameibaphis frigidae"
"Artemisia tridentata","Big Sagebrush","Epameibaphis utahensis"
"Artemisia tridentata","Big Sagebrush","Flabellomicrosiphum knowltoni"
"Artemisia tridentata","Big Sagebrush","Flabellomicrosiphum tridentatae"
"Artemisia tridentata","Big Sagebrush","Macrosiphum albicornum"
"Artemisia tridentata","Big Sagebrush","Macrosiphum anomellum"
"Artemisia tridentata","Big Sagebrush","Macrosiphum artemisiphilum"
